Track0,Track1,Track2,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Track17,Track18,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,DistanceFromStartLine,DistanceRaced,Damage,Accelerate,Brake,Steering,Gear
4.30868,4.4125,4.66675,5.11707,5.86068,7.10991,9.39892,14.5119,34.0961,139.641,30.3447,17.317,12.3786,9.86512,8.41254,7.53232,7.01171,6.75027,6.70399,0.217505,0.047972,6833.6,230.131,0.022863,3460.55,15053.7,0.0,1.0,0.0,0.0,6
4.79935,4.91481,5.19779,5.69908,6.52688,7.91747,10.4651,16.1538,37.9168,129.987,28.1497,16.0575,11.4763,9.1451,7.79801,6.98173,6.4989,6.25633,6.21321,0.128387,0.0477622,6856.03,230.84,-0.0130612,3470.78,15064.0,0.0,1.0,0.0,0.0,6
5.22686,5.35022,5.65554,6.19753,7.09275,8.59554,11.3437,17.4545,40.5054,127.704,26.5029,15.0407,10.7272,8.53807,7.27454,6.50906,6.05582,5.82712,5.78442,0.0506361,0.0452645,6874.48,231.424,0.320339,3479.76,15072.9,0.0,1.0,0.0,0.0,6
5.42549,5.46799,5.68528,6.114,6.83735,8.03161,10.1033,14.1966,25.1501,126.985,42.4449,18.4998,12.0617,9.15412,7.56118,6.61157,6.03683,5.71374,5.58454,0.0144462,-0.0426995,6892.76,231.34,-8.49858,3490.04,15083.2,0.0,1.0,0.0,0.0,6
5.18367,5.22979,5.44363,5.86139,6.56464,7.72642,9.74771,13.7678,24.7087,141.244,42.3528,18.9369,12.4381,9.47453,7.84391,6.87025,6.2814,5.9521,5.82374,0.0581493,-0.0366837,6893.78,232.096,-0.937514,3500.34,15093.5,0.0,1.0,0.0,0.0,6
5.071,5.20045,5.50844,6.05063,6.94526,8.45172,11.2284,17.5147,42.7441,106.446,26.0043,15.0722,10.8432,8.67318,7.41461,6.6515,6.20167,5.97899,5.94615,0.0794353,0.0558026,6924.09,232.002,9.74103,3510.65,15103.8,0.0,1.0,0.0,0.0,6
5.42742,5.56475,5.8929,6.47113,7.42533,9.03149,11.9891,18.6707,45.2832,102.32,24.5732,14.2087,10.2118,8.16348,6.97614,6.25629,5.83172,5.62106,5.58898,0.0146647,0.0545686,6913.4,232.76,1.6599,3520.98,15114.2,0.0,1.0,0.0,0.0,6
5.94398,6.09014,6.44441,7.07054,8.10418,9.84203,13.0327,20.1926,48.0496,99.9765,22.676,13.0112,9.32152,7.43821,6.34846,5.68797,5.29776,5.10274,5.07015,-0.0793371,0.05067,6928.97,233.527,-0.00667837,3531.33,15124.5,0.0,1.0,0.0,0.0,6
6.47068,6.62965,7.01515,7.69655,8.82142,10.7126,14.1845,21.9739,52.2605,89.7886,20.3302,11.6626,8.35457,6.66627,5.68941,5.09734,4.74754,4.57269,4.5434,-0.174984,0.0505579,6952.59,234.261,-0.00917131,3541.71,15134.9,0.0,1.0,0.0,0.30000001192092896,6
6.93798,7.05455,7.40391,8.04692,9.11555,10.8931,14.0628,20.7219,41.7711,200.0,22.4189,11.6324,8.01817,6.26264,5.2691,4.67011,4.31102,4.11944,4.06234,-0.261414,0.00766975,6982.43,234.545,-4.2704,3552.12,15145.3,0.0,1.0,0.0,0.0,6
