Track5,Track7,Track9,Track11,Track13,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,Accelerate,Brake,Steering,Gear
4.35377,7.36369,39.1583,29.6877,13.6796,0.44549,-0.0779628,6005.47,172.234,-0.328237,1.0,0.0,0.0,5
3.83134,6.48555,34.7527,30.9818,14.2983,0.512385,-0.0772472,6039.4,173.237,-0.0385769,1.0,0.0,0.0,5
3.29992,5.58692,29.9827,32.3522,14.9354,0.580078,-0.0771065,6074.51,174.238,0.00165784,1.0,0.0,-0.30000001192092896,5
2.82028,4.99201,45.6524,30.0697,14.908,0.654319,-0.0416582,6125.16,175.12,1.82344,1.0,0.0,0.0,5
2.8152,5.57223,200.0,24.9422,13.8935,0.683394,0.0312397,6167.49,175.521,7.93647,1.0,0.0,0.0,5
2.90339,5.91603,200.0,23.9473,13.6264,0.680087,0.047081,6163.49,176.433,4.84295,1.0,0.0,0.0,5
3.13184,6.34221,200.0,23.7539,13.4582,0.653431,0.0438002,6187.05,177.447,1.31515,1.0,0.0,0.0,5
3.50598,7.07173,200.0,23.2634,13.143,0.610951,0.0416665,6227.61,178.641,0.161358,1.0,0.0,0.0,5
3.83863,7.73646,200.0,22.7509,12.846,0.573797,0.0412311,6262.2,179.634,0.0104522,1.0,0.0,0.0,5
4.24603,8.55645,200.0,22.1001,12.4774,0.52852,0.0411612,6303.76,180.822,-0.00380687,1.0,0.0,0.0,5
4.58583,9.24122,200.0,21.5546,12.1694,0.490789,0.041162,6337.56,181.809,-0.00203415,1.0,0.0,0.0,5
4.92565,9.92609,200.0,21.0088,11.8614,0.453058,0.0411661,6371.8,182.793,-0.00145066,1.0,0.0,0.0,5
5.33343,10.7479,200.0,20.354,11.4917,0.407781,0.0411694,6412.76,183.97,-0.00130811,1.0,0.0,0.0,5
5.68144,11.4493,200.0,19.7953,11.1763,0.369141,0.0411716,6446.38,184.947,-0.00115467,1.0,0.0,0.0,5
6.10122,12.2953,200.0,19.1212,10.7958,0.322532,0.0411746,6487.03,186.116,-0.00117074,1.0,0.0,0.0,5
6.52099,13.1413,200.0,18.4472,10.4153,0.275923,0.0411776,6527.27,187.281,-0.00116828,1.0,0.0,0.0,5
6.73089,13.5643,200.0,18.1102,10.225,0.252619,0.0411795,6547.38,187.862,-0.00132198,1.0,0.0,0.0,5
7.2906,14.6924,200.0,17.2116,9.71769,0.190474,0.0411836,6600.87,189.405,-0.00132602,1.0,0.0,0.0,5
7.72218,15.5622,200.0,16.5187,9.32651,0.142556,0.0411867,6640.73,190.558,-0.00131514,1.0,0.0,0.0,5
8.082,16.2874,200.0,15.941,9.00038,0.102606,0.0411889,6674.02,191.516,-0.00116163,1.0,0.0,0.0,5
8.51379,17.1577,200.0,15.2478,8.60902,0.0546653,0.041192,6713.53,192.662,-0.0011476,1.0,0.0,0.0,5
8.94558,18.0279,200.0,14.5546,8.21767,0.00672496,0.0411951,6753.17,193.805,-0.0011389,1.0,0.0,0.0,5
9.30602,18.7544,200.0,13.9759,7.89099,-0.0332919,0.041198,6785.87,194.754,-0.00127978,1.0,0.0,0.0,5
9.74981,19.6489,200.0,13.2635,7.48877,-0.0825639,0.041201,6825.33,195.89,-0.00126106,1.0,0.0,0.0,5
10.1196,20.3943,200.0,12.6698,7.1536,-0.123624,0.0412032,6857.77,196.834,-0.0010824,1.0,0.0,0.30000001192092896,5
10.3394,20.4565,200.0,12.4067,6.90859,-0.163153,0.0310007,6892.76,197.652,-0.0455052,1.0,0.0,0.0,5
9.58757,16.9317,106.654,15.0342,7.42989,-0.177357,-0.0433776,6942.69,197.956,-7.84127,1.0,0.0,0.0,5
9.13746,15.6778,79.6627,16.749,7.91667,-0.149547,-0.0660314,6941.64,198.931,-4.98479,1.0,0.0,0.0,5
8.69702,15.0098,78.146,17.6865,8.42803,-0.0880238,-0.0606901,6971.12,200.078,-0.86135,1.0,0.0,0.0,5
8.24354,14.2165,74.0375,18.844,8.9515,-0.0295854,-0.0589876,7002.73,201.014,-0.103578,1.0,0.0,0.0,6
7.7489,13.3254,68.7529,20.1962,9.53194,0.0304066,-0.0592919,5955.08,201.437,0.0136243,1.0,0.0,-0.30000001192092896,6
7.82312,14.4763,146.146,17.8074,9.30529,0.0786799,-0.004834,5838.35,200.311,5.03921,1.0,0.0,0.0,6
8.3225,17.1064,184.116,15.3365,8.78578,0.0938166,0.0578422,5985.51,200.118,10.0438,1.0,0.0,0.0,6
8.50141,17.3815,181.343,15.1093,8.62686,0.0709561,0.0551173,5974.78,200.787,4.2104,1.0,0.0,0.0,6
8.76053,17.6009,200.0,14.8672,8.38658,0.0307173,0.0457938,5988.68,201.466,0.789469,1.0,0.0,0.0,6
9.15195,18.1986,200.0,14.3231,8.02236,-0.0199086,0.0402712,6012.78,202.26,0.03502,1.0,0.0,0.0,6
9.53051,18.8203,197.42,13.7525,7.66525,-0.0673606,0.0364724,6036.83,203.056,-0.0126593,1.0,0.0,0.0,6
9.86898,19.365,190.62,13.2301,7.34041,-0.110352,0.0329466,6060.46,203.855,-0.00291663,1.0,0.0,0.0,6
10.1195,19.7542,184.929,12.8382,7.09569,-0.142756,0.0300281,6078.99,204.522,-1.17944E-4,1.0,0.0,0.0,6
10.3412,20.0851,179.257,12.4887,6.87508,-0.172075,0.0271237,6097.94,205.189,1.49995E-4,1.0,0.0,0.0,6
10.5343,20.3605,173.586,12.1793,6.67848,-0.198309,0.0242318,6117.83,205.854,2.77515E-4,1.0,0.0,0.0,6
10.7386,20.6366,166.68,11.8484,6.46612,-0.226807,0.0207834,6140.96,206.652,2.45963E-4,1.0,0.0,0.0,6
